id_venda,id_cliente,id_produto,canal_venda,valor,data_venda
101,1593,46,Revendedor,4005.58,2024-12-09
102,1999,10,Loja Online,7152.01,2022-09-07
103,874,50,Revendedor,1828.84,2024-02-02
104,4244,30,Loja Online,4503.51,2024-11-06
105,995,30,Loja Física,6431.19,2023-10-07
106,2600,49,Revendedor,4939.95,2022-01-26
107,4136,28,Revendedor,7187.94,2022-03-11
108,3889,29,Marketplace,6039.04,2021-12-10
109,2272,50,Revendedor,5051.31,2023-09-14
110,2250,29,Loja Online,5737.0,2021-08-27
111,1921,18,Marketplace,2625.71,2022-08-21
112,661,9,Loja Física,1926.97,2023-10-10
113,1252,46,Loja Física,607.41,2023-08-08
114,3340,22,Revendedor,3384.62,2025-08-07
115,1695,27,Revendedor,7248.22,2025-01-11
116,161,49,Revendedor,3868.14,2023-08-29
117,2882,20,Revendedor,6842.24,2021-11-20
118,3433,35,Loja Física,3957.01,2021-07-02
119,2236,28,Revendedor,329.3,2024-01-27
120,2754,43,Revendedor,5821.03,2022-12-04
121,3829,9,Loja Online,7264.74,2023-01-31
122,223,6,Revendedor,1172.03,2025-07-17
123,3783,12,Loja Online,2155.23,2023-06-02
124,2682,14,Revendedor,2682.08,2024-05-17
125,3106,18,Revendedor,2092.95,2024-08-30
126,671,31,Loja Online,6017.29,2021-01-25
127,427,23,Loja Física,5236.14,2024-07-28
128,330,49,Loja Online,7601.93,2024-02-29
129,1634,2,Loja Física,1984.51,2023-02-20
130,3880,43,Loja Online,4555.36,2022-11-24
131,1786,30,Marketplace,6158.49,2021-11-27
132,1375,39,Loja Online,6244.56,2020-12-03
133,1342,20,Loja Online,4671.61,2025-05-31
134,2556,37,Revendedor,3233.57,2022-07-19
135,1625,5,Loja Física,905.02,2023-02-22
136,2471,44,Loja Online,6390.2,2023-12-04
137,337,23,Revendedor,5326.02,2021-02-23
138,565,33,Marketplace,199.95,2024-10-24
139,3442,53,Revendedor,933.76,2025-08-28
140,2968,41,Revendedor,5687.74,2022-02-25
141,3568,12,Marketplace,4965.71,2022-07-08
142,3961,30,Revendedor,6623.3,2023-10-08
143,2199,21,Loja Física,6662.78,2024-10-02
144,710,18,Revendedor,2026.52,2022-07-01
145,3807,37,Revendedor,2757.53,2021-01-20
146,4050,21,Loja Física,3951.64,2022-08-14
147,2907,52,Marketplace,2788.68,2025-03-14
148,2264,36,Loja Online,4181.36,2023-02-16
149,1566,6,Loja Física,5788.59,2023-01-20
150,4003,36,Loja Física,5555.81,2025-06-12
151,4021,29,Loja Online,835.12,2025-02-27
152,1816,26,Loja Física,2519.03,2023-07-07
153,3024,31,Marketplace,3461.48,2022-07-17
154,2710,23,Revendedor,2240.24,2022-07-29
155,2060,15,Loja Online,5798.15,2021-09-06
156,2585,8,Loja Física,1613.17,2022-01-22
157,3967,18,Marketplace,7846.03,2023-06-05
158,1591,19,Loja Física,2950.96,2022-11-23
159,2477,1,Loja Física,2267.06,2020-11-26
160,447,36,Marketplace,5609.6,2022-08-19
161,1035,41,Revendedor,910.44,2024-05-06
162,101,37,Marketplace,3808.24,2022-08-24
163,3609,22,Loja Física,7727.43,2024-12-10
164,2069,31,Loja Online,6594.71,2023-07-02
165,3283,32,Loja Online,4658.47,2021-04-10
166,440,10,Loja Física,6508.02,2022-08-17
167,2490,6,Loja Física,1035.77,2020-10-25
168,3410,39,Loja Física,6227.98,2024-03-10
169,3117,29,Revendedor,2449.09,2025-06-18
170,3513,20,Loja Online,4916.08,2022-09-22
171,813,49,Loja Física,5041.57,2024-05-28
172,2168,43,Loja Online,1340.75,2020-09-07
173,1424,36,Loja Online,1336.61,2023-06-26
174,3347,29,Revendedor,2400.95,2023-12-16
175,1897,19,Marketplace,5653.6,2021-05-23
176,3720,5,Loja Física,7398.9,2022-05-04
177,1621,28,Loja Online,4402.04,2021-01-11
178,1221,18,Loja Física,664.14,2022-02-26
179,1360,51,Marketplace,4800.85,2021-07-08
180,2365,29,Loja Online,3802.71,2020-11-09
181,2492,45,Revendedor,7547.14,2025-06-30
182,4100,35,Revendedor,3558.3,2023-11-20
183,327,28,Marketplace,4869.34,2022-03-26
184,212,6,Loja Física,7699.1,2020-10-21
185,170,49,Marketplace,4652.35,2023-06-12
186,1436,31,Revendedor,7336.98,2024-04-03
187,1487,38,Revendedor,5114.8,2023-06-21
188,4029,6,Revendedor,2848.89,2021-06-04
189,2731,21,Loja Online,6876.09,2021-04-23
190,2702,27,Revendedor,2376.92,2021-07-09
191,3281,53,Loja Online,3693.12,2021-06-22
192,2577,17,Marketplace,1015.78,2021-05-16
193,3312,33,Loja Online,5295.52,2023-03-05
194,3785,27,Loja Online,1581.9,2023-02-19
195,2964,40,Revendedor,5040.73,2021-10-11
196,423,14,Marketplace,4438.84,2024-03-16
197,2360,29,Revendedor,1059.27,2024-07-18
198,1961,46,Loja Física,2554.93,2025-04-20
199,113,36,Revendedor,836.35,2024-07-31
200,930,30,Loja Online,5216.91,2022-03-05
201,1262,32,Marketplace,4120.09,2022-11-03
202,2240,27,Revendedor,7843.93,2025-03-30
203,1997,30,Loja Física,3130.33,2022-03-07
204,4164,48,Loja Física,6925.81,2020-12-29
205,2264,50,Revendedor,2785.01,2023-12-08
206,4160,18,Loja Online,2334.43,2024-08-23
207,2446,38,Revendedor,6935.56,2021-04-13
208,3659,35,Revendedor,2826.48,2024-05-28
209,3091,30,Marketplace,6969.85,2022-06-27
210,1957,37,Revendedor,1945.14,2025-02-02
211,3366,3,Marketplace,5983.17,2024-03-04
212,3124,25,Loja Física,4013.1,2021-05-15
213,304,9,Marketplace,6970.63,2024-04-11
214,3607,7,Revendedor,221.25,2021-01-22
215,1181,27,Loja Física,691.14,2021-12-12
216,2172,22,Revendedor,5233.71,2024-12-29
217,2692,44,Revendedor,7637.7,2023-04-20
218,3998,35,Loja Online,4977.93,2025-07-20
219,1924,41,Marketplace,7979.66,2022-05-24
220,741,28,Loja Online,6106.92,2025-01-15
221,824,29,Loja Física,5582.61,2022-10-18
222,238,3,Marketplace,6389.53,2025-05-31
223,2404,23,Marketplace,3502.43,2023-12-17
224,2001,34,Revendedor,4570.83,2024-02-12
225,1476,11,Loja Física,723.85,2021-12-10
226,3134,40,Loja Física,4031.57,2020-11-02
227,1173,15,Revendedor,5139.45,2021-03-14
228,3765,17,Loja Online,7201.38,2020-09-10
229,3812,19,Loja Física,683.51,2023-07-17
230,2831,38,Marketplace,5147.62,2024-09-30
231,3476,45,Marketplace,3709.0,2025-05-01
232,2475,13,Revendedor,6841.35,2022-08-16
233,874,16,Revendedor,4618.19,2021-10-21
234,2424,45,Marketplace,273.32,2025-04-04
235,3243,18,Loja Online,4570.84,2024-11-26
236,402,39,Revendedor,6679.43,2021-12-12
237,2345,50,Loja Física,4895.81,2023-01-23
238,2887,15,Loja Física,5005.04,2022-02-23
239,1121,41,Loja Online,7236.89,2021-11-23
240,323,20,Revendedor,363.58,2024-02-03
241,2989,47,Loja Física,812.05,2021-06-10
242,2418,21,Revendedor,1487.56,2024-08-31
243,1083,51,Marketplace,4293.73,2023-04-18
244,2233,11,Marketplace,7320.99,2024-02-12
245,3948,52,Marketplace,5997.82,2022-12-12
246,2775,52,Loja Online,3799.82,2023-01-28
247,617,10,Loja Física,6895.11,2025-05-24
248,3256,52,Marketplace,813.39,2021-05-22
249,3233,1,Marketplace,4338.92,2022-06-02
250,3726,24,Marketplace,4718.02,2021-04-29
251,3044,7,Loja Física,3824.67,2021-06-12
252,2688,40,Loja Física,5216.45,2023-03-12
253,3804,45,Marketplace,5228.99,2022-04-08
254,956,9,Loja Online,7575.47,2021-08-30
255,2494,32,Loja Online,867.82,2025-05-14
256,1112,25,Revendedor,3030.99,2021-12-17
257,3434,38,Loja Física,7094.77,2021-04-11
258,812,32,Revendedor,7518.52,2022-02-01
259,2292,3,Marketplace,1816.43,2024-12-11
260,3643,16,Marketplace,884.9,2023-11-20
261,3010,35,Marketplace,578.35,2022-10-28
262,2261,13,Loja Online,7597.19,2023-01-06
263,3726,6,Loja Física,5169.47,2023-07-03
264,175,4,Marketplace,2024.19,2023-11-30
265,1032,51,Loja Física,642.02,2021-02-20
266,1698,38,Loja Física,6523.12,2024-07-16
267,1909,22,Loja Física,6330.29,2020-12-31
268,24,18,Loja Física,7901.47,2022-08-17
269,2054,52,Loja Física,968.42,2021-11-02
270,212,9,Loja Online,2930.11,2023-06-29
271,1950,38,Marketplace,224.67,2023-12-17
272,2174,4,Loja Física,5959.57,2023-02-15
273,4310,8,Loja Online,3862.34,2024-01-03
274,2966,33,Loja Online,3670.84,2023-03-27
275,1815,40,Loja Online,5845.22,2023-10-31
276,4272,20,Revendedor,5182.39,2020-10-25
277,256,4,Revendedor,6793.66,2023-01-09
278,3493,44,Loja Online,3973.12,2023-04-17
279,3634,5,Loja Online,2644.68,2023-11-20
280,1216,5,Loja Física,2272.63,2024-04-08
281,2664,25,Marketplace,3684.35,2024-11-08
282,3525,7,Loja Online,6837.06,2021-11-04
283,1762,28,Revendedor,7115.92,2021-03-05
284,3390,22,Revendedor,3249.97,2023-02-21
285,779,21,Revendedor,2568.94,2023-02-23
286,2089,24,Loja Física,5525.89,2022-06-28
287,3886,5,Loja Online,6671.0,2025-07-20
288,764,28,Loja Online,5982.25,2021-10-04
289,3053,52,Loja Física,4495.33,2023-06-21
290,2701,43,Loja Online,3345.39,2022-12-31
291,3465,47,Loja Online,7750.35,2022-02-09
292,2560,23,Loja Online,4665.56,2023-05-15
293,1743,10,Revendedor,1871.53,2021-03-19
294,887,23,Marketplace,1007.59,2021-03-12
295,2283,37,Loja Física,6477.05,2023-05-04
296,216,39,Marketplace,328.73,2022-04-01
297,2239,45,Marketplace,7380.15,2022-03-08
298,2876,1,Loja Física,6971.92,2022-08-10
299,3284,5,Loja Física,5953.66,2022-03-12
300,252,6,Loja Física,3071.94,2023-03-23
301,3717,22,Loja Física,3023.42,2024-09-15
302,2658,50,Loja Online,7078.4,2024-12-13
303,1275,11,Loja Online,5424.35,2022-11-15
304,2230,29,Revendedor,3936.73,2025-06-29
305,3622,27,Marketplace,1802.99,2021-07-07
306,4198,8,Marketplace,3496.32,2022-06-15
307,2321,44,Revendedor,4262.78,2021-12-10
308,2527,3,Loja Física,3222.58,2025-03-19
309,449,1,Loja Física,2481.21,2023-02-23
310,1731,50,Loja Física,6136.87,2025-04-04
311,2372,21,Loja Online,161.07,2025-05-30
312,3528,12,Loja Física,3103.64,2024-02-02
313,1886,33,Marketplace,669.4,2023-01-30
314,347,28,Loja Online,3732.06,2022-03-25
315,638,21,Revendedor,4629.86,2022-06-30
316,3422,19,Loja Online,3299.76,2023-12-22
317,2661,11,Revendedor,6673.0,2022-12-27
318,2965,6,Revendedor,6771.43,2024-09-11
319,1994,28,Revendedor,4239.3,2024-07-02
320,3243,20,Marketplace,1850.42,2020-12-02
321,1378,5,Loja Online,4291.78,2023-01-20
322,1589,50,Marketplace,2873.69,2023-12-23
323,1210,16,Loja Online,1256.91,2022-02-28
324,1617,12,Loja Física,6105.7,2022-11-18
325,618,12,Revendedor,3765.23,2024-03-19
326,3678,44,Marketplace,6927.55,2020-11-25
327,2590,10,Revendedor,639.46,2022-06-30
328,3623,41,Marketplace,6391.0,2024-11-21
329,461,23,Loja Online,2552.22,2024-01-04
330,3703,3,Loja Online,3013.03,2023-11-08
331,2352,5,Loja Online,4958.57,2020-10-20
332,4154,25,Revendedor,4684.6,2021-12-06
333,337,29,Loja Física,2640.06,2024-09-28
334,3897,33,Loja Física,7666.01,2024-05-09
335,3691,7,Marketplace,7860.85,2024-05-02
336,691,33,Loja Física,409.22,2021-10-08
337,3587,29,Loja Física,2974.79,2023-04-01
338,2318,25,Revendedor,6218.27,2024-01-02
339,429,51,Marketplace,620.7,2025-05-11
340,775,36,Revendedor,2344.76,2021-01-13
341,1232,22,Loja Online,4703.64,2023-07-22
342,1159,23,Marketplace,7744.8,2025-05-12
343,3211,9,Loja Online,2545.7,2020-09-04
344,3086,42,Marketplace,6524.16,2025-07-30
345,4313,6,Revendedor,4117.06,2024-01-30
346,150,24,Marketplace,1524.08,2024-11-27
347,1755,22,Revendedor,1616.84,2022-04-11
348,1127,10,Loja Online,2436.76,2024-02-20
349,829,33,Loja Online,5329.24,2024-11-06
350,1074,39,Revendedor,1318.6,2024-06-02
351,1482,45,Loja Física,5797.35,2025-04-01
352,358,27,Marketplace,5443.27,2021-06-01
353,1946,29,Marketplace,6043.89,2021-09-28
354,3678,15,Loja Física,2544.8,2025-05-10
355,3843,13,Marketplace,5458.62,2021-12-14
356,3610,30,Marketplace,6247.18,2022-01-01
357,4120,34,Revendedor,7733.52,2024-11-05
358,1636,52,Loja Física,6996.72,2024-02-14
359,428,42,Revendedor,7005.52,2024-08-22
360,841,46,Loja Online,2352.0,2021-09-15
361,1314,18,Revendedor,7251.92,2022-05-10
362,1208,28,Loja Online,7576.66,2025-04-23
363,1819,53,Revendedor,7088.58,2022-05-30
364,219,27,Loja Online,3231.99,2021-11-13
365,3064,16,Revendedor,7956.75,2022-05-09
366,3072,15,Loja Online,2617.61,2022-10-09
367,812,46,Marketplace,6351.91,2024-01-27
368,1128,3,Marketplace,7347.43,2025-03-18
369,3871,45,Loja Física,6094.85,2023-05-23
370,3843,29,Loja Online,7256.27,2023-08-14
371,156,17,Loja Física,6696.21,2022-04-17
372,4324,28,Loja Online,6231.76,2022-03-01
373,1947,20,Loja Online,477.22,2022-01-06
374,3440,41,Revendedor,596.18,2020-09-22
375,4095,39,Loja Online,5092.44,2024-06-29
376,1982,46,Loja Física,2401.05,2023-10-19
377,13,40,Marketplace,2000.46,2023-07-29
378,3413,12,Loja Online,4235.53,2020-09-25
379,2955,5,Loja Online,3184.58,2020-12-13
380,3852,3,Revendedor,7850.21,2025-04-11
381,2078,48,Loja Online,2921.04,2023-06-11
382,554,23,Loja Física,5890.23,2021-02-06
383,850,50,Marketplace,1153.94,2021-11-15
384,2887,35,Marketplace,6526.72,2021-03-06
385,1435,50,Revendedor,7848.47,2024-02-13
386,3921,41,Loja Física,6510.83,2022-01-23
387,517,46,Revendedor,392.17,2022-04-14
388,1652,3,Loja Física,7097.74,2021-07-20
389,2586,20,Revendedor,7914.07,2022-01-31
390,3879,17,Loja Online,6051.0,2024-06-16
391,1566,19,Marketplace,6910.89,2021-01-03
392,392,42,Marketplace,2258.41,2023-04-04
393,3015,28,Revendedor,5972.13,2023-12-22
394,3168,22,Loja Física,4020.01,2021-12-09
395,4076,24,Marketplace,6429.07,2022-10-13
396,3478,6,Revendedor,4859.38,2024-08-06
397,1479,35,Marketplace,2637.57,2024-08-15
398,656,21,Marketplace,2521.32,2020-09-05
399,3491,11,Revendedor,2877.22,2020-10-20
400,347,47,Marketplace,4957.33,2023-07-15
401,3564,18,Loja Online,692.83,2025-01-15
402,3328,24,Loja Física,7627.04,2022-05-12
403,1170,39,Revendedor,374.91,2023-12-09
404,551,16,Marketplace,2960.99,2021-02-26
405,266,39,Loja Física,5464.59,2023-01-13
406,3039,24,Revendedor,6128.37,2023-05-10
407,1128,34,Marketplace,3244.47,2024-02-13
408,2284,16,Loja Online,304.72,2020-10-28
409,1525,32,Revendedor,7316.99,2023-05-16
410,965,17,Marketplace,5661.9,2023-10-31
411,1758,40,Marketplace,5582.45,2023-07-20
412,4024,13,Loja Online,1172.25,2024-10-18
413,607,29,Loja Física,7199.56,2023-06-29
414,3647,6,Marketplace,5375.93,2025-01-27
415,532,36,Marketplace,7141.52,2024-11-18
416,1291,46,Loja Física,6370.2,2023-11-10
417,4168,15,Loja Online,7882.55,2024-02-09
418,1138,16,Revendedor,307.64,2024-06-30
419,3023,30,Loja Física,4934.39,2021-04-25
420,707,5,Marketplace,3245.46,2025-04-07
421,3922,34,Revendedor,6176.4,2024-06-22
422,605,9,Marketplace,5174.47,2024-12-08
423,3687,30,Marketplace,1113.84,2024-02-29
424,1491,50,Loja Física,3517.68,2021-04-07
425,454,8,Loja Física,2502.58,2021-11-19
426,1327,21,Loja Física,2833.58,2022-07-10
427,4251,19,Loja Online,2079.78,2023-07-29
428,2249,9,Marketplace,4953.98,2024-09-22
429,766,33,Loja Física,4775.29,2022-01-04
430,1264,11,Marketplace,6755.99,2020-08-29
431,338,53,Loja Online,741.66,2023-10-21
432,2169,42,Loja Física,6158.98,2020-12-04
433,3413,40,Loja Online,4034.5,2021-12-18
434,2373,42,Marketplace,3915.26,2025-05-13
435,3327,20,Revendedor,676.49,2020-10-29
436,491,11,Revendedor,3383.41,2025-06-22
437,3805,14,Marketplace,4892.62,2021-09-30
438,2561,46,Marketplace,5900.18,2023-01-03
439,2830,26,Loja Física,6109.25,2025-06-26
440,4219,36,Loja Online,2621.02,2023-08-04
441,3822,8,Marketplace,3651.81,2024-03-08
442,1155,7,Loja Online,2392.67,2023-01-12
443,3147,40,Revendedor,2061.34,2021-10-06
444,1309,53,Marketplace,7476.64,2022-10-06
445,2562,13,Loja Física,4036.3,2021-04-22
446,4217,30,Revendedor,7044.7,2025-05-16
447,4075,2,Loja Online,7567.34,2025-05-08
448,4141,30,Loja Física,1799.64,2021-06-10
449,2891,4,Loja Online,2322.72,2024-08-17
450,3856,19,Loja Online,6792.66,2021-01-08
451,3531,9,Marketplace,5847.31,2023-06-25
452,3304,24,Loja Online,3264.59,2023-08-24
453,1595,24,Marketplace,680.9,2022-06-28
454,4131,29,Marketplace,6619.96,2025-04-27
455,974,9,Loja Online,3211.84,2023-12-26
456,2778,36,Marketplace,6064.22,2022-12-07
457,1631,39,Revendedor,4050.62,2022-10-24
458,372,3,Loja Física,5737.38,2023-10-06
459,3881,34,Revendedor,1276.63,2022-11-17
460,4224,9,Marketplace,7457.81,2021-06-14
461,2610,11,Revendedor,7925.86,2024-02-22
462,2452,38,Marketplace,4107.79,2023-05-30
463,4176,35,Revendedor,5699.04,2024-02-25
464,2456,31,Loja Online,3010.03,2023-04-18
465,898,27,Marketplace,6394.36,2024-08-20
466,219,39,Revendedor,2197.69,2022-08-06
467,1865,47,Loja Online,4709.83,2023-07-17
468,1397,34,Revendedor,1267.43,2020-09-12
469,1985,3,Loja Online,1607.2,2022-02-18
470,3613,21,Revendedor,1296.31,2022-07-12
471,1671,27,Revendedor,6995.26,2021-07-12
472,511,46,Loja Física,4197.6,2024-03-10
473,2663,43,Revendedor,4251.27,2025-04-20
474,2571,12,Revendedor,7305.78,2024-10-16
475,2805,35,Marketplace,5439.36,2022-09-27
476,2166,40,Revendedor,1618.89,2025-02-07
477,2020,18,Marketplace,1876.45,2022-07-12
478,2439,50,Marketplace,5668.72,2024-10-03
479,4006,21,Revendedor,2855.55,2025-02-13
480,2241,19,Loja Online,4630.47,2021-07-20
481,3111,26,Marketplace,7641.41,2025-05-17
482,1200,19,Loja Online,2372.28,2024-03-29
483,648,23,Revendedor,5282.18,2025-07-22
484,3925,14,Loja Física,6640.82,2020-09-24
485,2222,36,Marketplace,1184.46,2023-03-13
486,1961,16,Loja Online,5391.69,2024-03-11
487,1849,41,Loja Física,514.68,2024-10-09
488,3386,22,Revendedor,894.3,2022-07-10
489,1127,1,Loja Física,3314.57,2024-09-01
490,3897,31,Loja Física,6071.7,2022-07-14
491,2354,21,Marketplace,5202.59,2020-12-12
492,733,42,Loja Física,4327.7,2025-01-03
493,306,12,Revendedor,7069.74,2022-06-13
494,1441,3,Revendedor,6324.89,2025-02-18
495,1527,48,Marketplace,7026.27,2021-07-29
496,76,20,Loja Online,7434.79,2020-09-09
497,2745,19,Revendedor,7913.89,2022-01-05
498,4296,32,Loja Física,6823.37,2022-04-24
499,3835,18,Loja Física,6489.63,2022-12-09
500,2709,11,Revendedor,5221.45,2024-11-11
501,1526,1,Marketplace,6347.06,2024-07-30
502,1583,12,Revendedor,6633.22,2020-10-14
503,4222,21,Loja Online,3266.58,2021-10-28
504,782,12,Loja Física,3871.89,2023-01-08
505,2033,1,Marketplace,3130.24,2023-09-17
506,3660,49,Marketplace,7636.88,2024-02-28
507,2474,38,Loja Online,2166.27,2024-06-18
508,2946,45,Loja Física,590.78,2025-04-15
509,969,30,Marketplace,1361.76,2025-01-22
510,4117,46,Marketplace,5553.29,2022-01-05
511,2417,24,Loja Física,1831.12,2022-11-26
512,1095,31,Loja Física,3694.33,2021-01-11
513,3061,27,Revendedor,6083.07,2024-01-15
514,1790,49,Loja Física,5474.7,2021-08-25
515,671,34,Revendedor,4272.57,2023-12-13
516,2964,5,Loja Online,587.89,2024-08-04
517,4141,13,Loja Física,1399.84,2024-05-28
518,4263,29,Loja Online,5474.33,2021-01-12
519,4005,6,Revendedor,6488.67,2024-10-10
520,3715,9,Revendedor,3708.71,2021-05-22
521,473,36,Revendedor,5414.86,2021-03-23
522,2525,47,Loja Online,3227.99,2025-08-12
523,25,48,Loja Física,4668.66,2023-10-14
524,372,28,Marketplace,5633.04,2024-12-09
525,494,5,Revendedor,350.71,2020-09-29
526,3350,12,Loja Física,6150.04,2021-03-07
527,3444,24,Revendedor,3643.44,2025-07-27
528,3093,25,Loja Online,5493.57,2021-04-14
529,1090,42,Marketplace,1037.2,2021-11-05
530,3220,34,Loja Física,5850.08,2025-04-12
531,1825,1,Loja Online,7830.08,2021-07-16
532,3793,44,Revendedor,4302.28,2023-06-01
533,1882,16,Revendedor,2834.66,2024-09-14
534,2259,13,Loja Online,354.52,2020-11-04
535,3435,40,Loja Online,2001.26,2022-03-09
536,552,7,Loja Online,3626.88,2025-07-30
537,399,16,Loja Online,3277.9,2020-09-25
538,1920,35,Loja Física,6059.65,2021-06-19
539,463,9,Marketplace,1949.88,2021-03-16
540,2613,37,Marketplace,1971.54,2025-01-10
541,1174,43,Loja Física,3367.13,2021-09-18
542,2255,4,Loja Física,5045.35,2024-11-16
543,3500,36,Revendedor,470.38,2023-06-28
544,2822,42,Revendedor,6307.86,2021-06-08
545,2612,45,Revendedor,3325.25,2023-05-28
546,2457,25,Loja Física,6059.89,2020-10-29
547,3880,16,Loja Física,2475.82,2021-01-08
548,1183,52,Revendedor,7326.46,2022-01-05
549,3381,27,Loja Física,3168.51,2021-07-29
550,2089,14,Marketplace,5208.98,2024-06-11
551,3685,24,Loja Online,4331.52,2021-04-30
552,1561,4,Marketplace,3079.63,2025-04-01
553,324,5,Loja Física,6456.74,2023-03-05
554,1778,31,Loja Física,6968.84,2023-04-14
555,2728,20,Loja Online,1773.28,2023-05-04
556,1557,48,Loja Online,6000.35,2022-09-21
557,3924,16,Loja Física,3233.39,2021-09-19
558,1961,36,Marketplace,6226.56,2021-04-10
559,3119,30,Marketplace,2536.54,2025-07-31
560,2947,33,Revendedor,3781.43,2023-10-16
561,3847,49,Marketplace,7323.21,2023-04-11
562,3037,21,Revendedor,461.15,2024-01-05
563,1813,48,Loja Física,228.14,2021-02-07
564,3421,19,Loja Física,1649.92,2022-05-14
